2026-05-27 22:56:08,428 | INFO | Rectangle | jfhdh
2026-05-27 22:56:20,954 | INFO | Rectangle | created
2026-05-27 22:56:20,954 | INFO | Rectangle | creating dictionary
2026-05-27 22:56:20,955 | INFO | Rectangle | calculating area
2026-05-27 22:56:20,955 | INFO | Rectangle | calculating perimeter
2026-05-27 22:56:20,955 | INFO | Rectangle | jfhdh
2026-05-27 22:56:44,465 | INFO | Rectangle | created
2026-05-27 22:56:44,466 | INFO | circle | creating dictionary
2026-05-27 22:56:44,466 | INFO | circle | calculating area
2026-05-27 22:56:44,466 | INFO | circle | calculating perimeter
2026-05-27 22:56:44,466 | INFO | Rectangle | jfhdh
2026-05-27 23:02:24,727 | INFO | Rectangle | created
2026-05-27 23:02:24,728 | INFO | circle | creating dictionary
2026-05-27 23:02:24,728 | INFO | circle | calculating area
2026-05-27 23:02:24,728 | INFO | circle | calculating perimeter
2026-05-27 23:02:24,728 | INFO | Rectangle | jfhdh
2026-05-27 23:03:08,778 | INFO | Rectangle | created
2026-05-27 23:03:08,779 | INFO | circle | creating dictionary
2026-05-27 23:03:08,779 | INFO | circle | calculating area
2026-05-27 23:03:08,779 | INFO | circle | calculating perimeter
2026-05-27 23:03:08,780 | INFO | Rectangle | jfhdh
2026-05-27 23:03:30,972 | INFO | Rectangle | created
2026-05-27 23:03:30,972 | INFO | circle | creating dictionary
2026-05-27 23:03:30,972 | INFO | circle | calculating area
2026-05-27 23:03:30,973 | INFO | circle | calculating perimeter
2026-05-27 23:03:30,973 | INFO | Rectangle | jfhdh
2026-05-27 23:04:31,397 | INFO | Rectangle | created
2026-05-27 23:04:31,398 | INFO | circle | creating dictionary
2026-05-27 23:04:31,398 | INFO | circle | calculating area
2026-05-27 23:04:31,398 | INFO | circle | calculating perimeter
2026-05-27 23:04:31,399 | INFO | Rectangle | jfhdh
2026-05-27 23:05:22,919 | INFO | Rectangle | created
2026-05-27 23:05:22,920 | INFO | circle | creating dictionary
2026-05-27 23:05:22,920 | INFO | circle | calculating area
2026-05-27 23:05:22,920 | INFO | circle | calculating perimeter
